PN,PR
40,21.2421
40,27.1159
40,34.614
40,44.1854
40,56.4034
40,72
34,16.6407
34,21.2421
34,27.1159
34,34.614
34,44.1854
34,56.4034
34,72
29,16.6407
29,21.2421
29,27.1159
29,34.614
29,44.1854
29,56.4034
29,72
24,13.036
24,16.6407
24,21.2421
24,27.1159
24,34.614
24,44.1854
24,56.4034
24,72
21,13.036
21,16.6407
21,21.2421
21,27.1159
21,34.614
21,44.1854
21,56.4034
21,72
17,10.2121
17,13.036
17,16.6407
17,21.2421
17,27.1159
17,34.614
17,44.1854
17,56.4034
17,72
15,8
15,10.2121
15,13.036
15,16.6407
15,21.2421
15,27.1159
15,34.614
15,44.1854
15,56.4034
15,72
13,8
13,10.2121
13,13.036
13,16.6407
13,21.2421
13,27.1159
13,34.614
13,44.1854
13,56.4034
13,72
11,8
11,10.2121
11,13.036
11,16.6407
11,21.2421
11,27.1159
11,34.614
11,44.1854
11,56.4034
11,72
9,8
9,10.2121
9,13.036
9,16.6407
9,21.2421
9,27.1159
9,34.614
9,44.1854
9,56.4034
9,72
